cercle_id,title,old_img_addr,new_img_addr
C36,あなたとあたしの惑星系,../image_b/kagero/img (1).jpg,./imgs/IMG_3601.jpg
C33,バンドリ自由形 総集編,../image_b/kaminarisama/img (1).jpg,./imgs/IMG_3301.jpg
C34,エイトビートで鳴らして,../image_b/kiminotomodachi/img (1).jpg,./imgs/IMG_3401.jpg
C31,癒してことりちゃん[webview],http://drive.google.com/uc?export=view&id=1yck_p8dab_qDhVJApKvwl4hqXM8RnXbz,http://drive.google.com/uc?export=view&id=1yck_p8dab_qDhVJApKvwl4hqXM8RnXbz
C28,はぴるん宇宙計画,../image_b/letra/img (1).jpg,./imgs/IMG_2801.jpg
C28,キミのフレーバー,../image_b/letra/img (2).jpg,./imgs/IMG_2802.jpg
C28,あたしは美咲から聞いたことはなんでも誰かに話したい,../image_b/letra/img (3).jpg,./imgs/IMG_2803.jpg
C35,エイトビートで鳴らして,../image_b/kiminotomodachi/img (1).jpg,./imgs/IMG_3501.jpg
C29,IN MY DREAM,../image_b/poisonstew/img001.jpg,./imgs/IMG_2901.jpg
C30,君が目覚める5分前 [webview],http://drive.google.com/uc?export=view&id=1x9M2OALJFmWJpSbC-ZQJg-hnHaHxxFaZ,http://drive.google.com/uc?export=view&id=1x9M2OALJFmWJpSbC-ZQJg-hnHaHxxFaZ
C30,きみにもらった星のうた,../image_b/syobokon/img (1).jpg,./imgs/IMG_3002.jpg
C30,はっぴー・はっぴー・でぃず♪,../image_b/syobokon/img (2).jpg,./imgs/IMG_3003.jpg
C27,金魚のこころ,../image_b/tobatyaduke/img001.jpg,./imgs/IMG_2701.jpg
C32,FLIP FLAP[webview],http://drive.google.com/uc?export=view&id=1eW2fSpRpamREF1AuJL5gxEPaYzRHFuwI,http://drive.google.com/uc?export=view&id=1eW2fSpRpamREF1AuJL5gxEPaYzRHFuwI
